,Temperature (° F),Actual,Historic Avg.,Record,Unnamed: 4,lat,lon,station_name,station_id,date
0,High Temp,34,37,60,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
1,Low Temp,17,24,-8,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
2,Day Average Temp,26,30,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
3,Precipitation,0,0.1,2.18,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
4,Month to Date,0.89,0.95,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
5,Year to Date,37.42,37.47,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
6,Heating Degree Days,39,35,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
7,HDD Month to Date,349,329,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
8,HDD Since July 1,1672,1464,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
9,Cooling Degree Days,0,0,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
10,CDD Month to Date,0,0,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
11,CDD Year to Date,1408,1045,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
12,Growing Degree Days,0,-,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
13,Dew Point,18,-,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
14,High,23,-,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
15,Low,13,-,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
16,Average,18,-,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
17,Max Wind Speed,15,-,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
18,Visibility,10,-,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
19,Sea Level Pressure,30.35,-,-,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
20,Actual Time,9h 11m,7:09 AM,4:21 PM,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
21,Civil Twilight,,6:37 AM,4:52 PM,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
22,Nautical Twilight,,6:02 AM,5:27 PM,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
23,Astronomical Twilight,,5:28 AM,6:01 PM,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
24,Moon: waxing crescent,,10:46 AM,8:26 PM,,41.91,-87.7,Logan Square,KILCHICA569,12-10-2018
